LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018993,Cornwall 069B,E06000052,Cornwall,E06000052,Cornwall,"1,607",236,158,221,496,496
E01018994,Cornwall 067C,E06000052,Cornwall,E06000052,Cornwall,"1,696",257,187,220,466,566
E01018995,Cornwall 068A,E06000052,Cornwall,E06000052,Cornwall,"2,113",336,275,331,604,567
E01018996,Cornwall 067D,E06000052,Cornwall,E06000052,Cornwall,"1,546",230,198,239,493,386
E01018997,Cornwall 067E,E06000052,Cornwall,E06000052,Cornwall,"1,516",386,317,244,389,180
E01018998,Cornwall 068B,E06000052,Cornwall,E06000052,Cornwall,"1,391",238,223,233,421,276
E01018999,Cornwall 068C,E06000052,Cornwall,E06000052,Cornwall,"1,565",202,240,231,436,456
E01019000,Cornwall 070A,E06000052,Cornwall,E06000052,Cornwall,"1,361",162,118,144,395,542
E01019001,Cornwall 068D,E06000052,Cornwall,E06000052,Cornwall,"1,582",137,181,182,532,550
E01019002,Cornwall 070B,E06000052,Cornwall,E06000052,Cornwall,"1,289",144,99,140,368,538
E01019003,Cornwall 070C,E06000052,Cornwall,E06000052,Cornwall,"1,748",226,177,223,560,562
E01019004,Cornwall 070D,E06000052,Cornwall,E06000052,Cornwall,"1,531",275,211,223,441,381
E01019005,Cornwall 069C,E06000052,Cornwall,E06000052,Cornwall,"2,171",398,231,339,676,527
E01019006,Cornwall 065D,E06000052,Cornwall,E06000052,Cornwall,"1,640",199,158,169,516,598
E01019007,Cornwall 061E,E06000052,Cornwall,E06000052,Cornwall,"2,381",438,287,353,757,546
E01019008,Cornwall 054A,E06000052,Cornwall,E06000052,Cornwall,"1,309",220,167,201,383,338
E01019009,Cornwall 054B,E06000052,Cornwall,E06000052,Cornwall,"1,530",281,241,263,451,294
E01019010,Cornwall 054C,E06000052,Cornwall,E06000052,Cornwall,"1,200",160,139,183,389,329
E01019011,Cornwall 054D,E06000052,Cornwall,E06000052,Cornwall,"1,512",193,177,174,428,540
E01019012,Cornwall 054E,E06000052,Cornwall,E06000052,Cornwall,"1,405",107,157,168,439,534
E01019013,Cornwall 036A,E06000052,Cornwall,E06000052,Cornwall,"2,273",424,310,338,642,559
E01019014,Cornwall 036B,E06000052,Cornwall,E06000052,Cornwall,"1,432",246,172,190,411,413
E01019015,Cornwall 036C,E06000052,Cornwall,E06000052,Cornwall,"1,448",252,191,233,416,356
E01019016,Cornwall 036D,E06000052,Cornwall,E06000052,Cornwall,"1,961",467,314,374,533,273
E01019017,Cornwall 036E,E06000052,Cornwall,E06000052,Cornwall,"2,749",337,293,324,841,954
E01019018,Cornwall 021A,E06000052,Cornwall,E06000052,Cornwall,"1,557",228,199,200,481,449
